campaign_id,customer_id,campaign_date,channel,campaign_type,region,age,age_segment,gender,previous_spend,spend_tier,budget,duration_days,impressions,clicks,conversions,revenue,ctr,conversion_rate,roi
CMP-021,CUST-0026,2025-02-13,Social Media,Consideration,South,18,18-24,Male,164.89,Low,1726.36,7,80464,2504,88,14000.44,0.0311,0.0351,7.1098
CMP-013,CUST-0027,2025-06-11,Email,Awareness,West,19,18-24,Female,398.98,Medium,1293.01,30,66639,2272,81,9938.31,0.0341,0.0357,6.6862
CMP-028,CUST-0028,2025-02-01,Email,Conversion,Central,20,18-24,Male,487.44,Medium,996.69,21,41852,2000,125,10128.46,0.0478,0.0625,9.1621
CMP-033,CUST-0029,2025-03-08,Social Media,Conversion,West,48,45-54,Female,206.42,Medium,4423.34,10,144376,3610,225,19285.36,0.025,0.0623,3.3599
CMP-016,CUST-0030,2025-02-09,Social Media,Consideration,Central,39,35-44,Female,91.86,Low,661.51,10,23330,792,39,3156.22,0.0339,0.0492,3.7712
CMP-002,CUST-0031,2025-04-10,Display Ads,Conversion,West,18,18-24,Female,153.24,Low,2960.37,21,121518,1961,115,11736.01,0.0161,0.0586,2.9644
CMP-025,CUST-0032,2025-06-09,Social Media,Retargeting,West,30,25-34,Male,113.21,Low,480.79,30,16827,314,21,2542.22,0.0187,0.0669,4.2876
CMP-004,CUST-0033,2025-04-18,Social Media,Consideration,West,25,25-34,Female,184.75,Low,4399.32,14,178189,7582,352,55998.32,0.0426,0.0464,11.7289
CMP-003,CUST-0034,2025-05-02,Display Ads,Conversion,South,42,35-44,Female,467.51,Medium,3085.25,7,70676,784,49,3683.12,0.0111,0.0625,0.1938
CMP-008,CUST-0035,2025-06-23,Display Ads,Awareness,East,35,35-44,Female,835.41,High,2273.77,21,70235,1086,45,6434.14,0.0155,0.0414,1.8297
CMP-008,CUST-0036,2025-05-10,Display Ads,Retargeting,North,27,25-34,Female,687.15,High,411.36,14,11274,201,13,1125.14,0.0178,0.0647,1.7352
CMP-010,CUST-0037,2025-04-30,Social Media,Conversion,East,18,18-24,Male,161.11,Low,4354.81,21,170865,3669,222,34844.79,0.0215,0.0605,7.0014
CMP-030,CUST-0038,2025-02-24,Paid Search,Retargeting,East,55,55+,Female,254.48,Medium,4219.49,14,187850,10520,1108,101024.38,0.056,0.1053,22.9423
CMP-031,CUST-0039,2025-03-20,Paid Search,Retargeting,North,40,35-44,Male,190.75,Low,2139.75,30,99460,5616,780,102677.12,0.0565,0.1389,46.9856
CMP-020,CUST-0040,2025-06-26,Social Media,Awareness,South,26,25-34,Male,496.77,Medium,1278.97,10,55974,2386,101,13686.06,0.0426,0.0423,9.7008
CMP-024,CUST-0041,2025-03-16,Email,Awareness,Central,36,35-44,Female,259.42,Medium,3443.67,10,159668,7529,247,22815.02,0.0472,0.0328,5.6252
CMP-004,CUST-0042,2025-06-11,Social Media,Conversion,North,38,35-44,Female,307.35,Medium,1085.88,7,63593,1627,104,9051.43,0.0256,0.0639,7.3356
CMP-015,CUST-0043,2025-05-26,Display Ads,Consideration,West,29,25-34,Female,194.5,Low,642.12,30,24116,463,24,2854.52,0.0192,0.0518,3.4455
CMP-016,CUST-0044,2025-01-09,Email,Awareness,North,19,18-24,Female,63.36,Low,1747.31,10,66277,3527,117,8273.2,0.0532,0.0332,3.7348
CMP-013,CUST-0045,2025-02-12,Social Media,Retargeting,South,51,45-54,Female,177.35,Low,3235.96,14,189766,4711,298,35634.79,0.0248,0.0633,10.0121
CMP-018,CUST-0046,2025-06-04,Social Media,Retargeting,North,18,18-24,Male,717.62,High,475.44,14,14043,329,28,3198.05,0.0234,0.0851,5.7265
CMP-012,CUST-0047,2025-05-06,Social Media,Retargeting,East,40,35-44,Male,215.87,Medium,2629.55,7,85525,3462,269,19943.05,0.0405,0.0777,6.5842
CMP-026,CUST-0048,2025-04-14,Display Ads,Retargeting,West,41,35-44,Female,287.97,Medium,4350.9,30,72930,1190,80,4672.04,0.0163,0.0672,0.0738
CMP-032,CUST-0049,2025-06-28,Paid Search,Conversion,South,33,25-34,Female,312.96,Medium,938.92,21,67449,3913,294,18075.27,0.058,0.0751,18.2511
CMP-006,CUST-0050,2025-05-08,Email,Conversion,North,28,25-34,Male,300.97,Medium,2818.03,14,104762,4838,542,39012.56,0.0462,0.112,12.8439
CMP-033,CUST-0051,2025-05-10,Display Ads,Awareness,North,30,25-34,Female,266.23,Medium,4329.66,14,93731,1945,73,12035.14,0.0208,0.0375,1.7797
CMP-035,CUST-0052,2025-06-28,Social Media,Consideration,Central,18,18-24,Male,1096.8,VIP,3123.22,10,96035,4168,134,17902.23,0.0434,0.0321,4.732
CMP-025,CUST-0053,2025-06-01,Influencer,Conversion,South,30,25-34,Male,439.25,Medium,4568.05,14,216035,5410,354,34763.56,0.025,0.0654,6.6102
CMP-010,CUST-0054,2025-03-26,Email,Conversion,East,25,25-34,Male,2285.31,VIP,2193.05,30,82955,4804,518,77339.01,0.0579,0.1078,34.2655
CMP-015,CUST-0055,2025-02-12,Display Ads,Consideration,North,35,35-44,Female,102.24,Low,4731.61,14,84590,834,36,3806.16,0.0099,0.0432,-0.1956
CMP-012,CUST-0056,2025-02-06,Email,Awareness,West,28,25-34,Male,122.94,Low,2586.58,10,76255,3048,116,16352.5,0.04,0.0381,5.3221
CMP-023,CUST-0057,2025-04-09,Influencer,Consideration,West,29,25-34,Female,236.24,Medium,867.27,21,25377,490,24,3072.27,0.0193,0.049,2.5425
CMP-004,CUST-0058,2025-02-26,Influencer,Conversion,East,35,35-44,Male,1492.55,VIP,3361.32,10,150060,3162,265,46146.72,0.0211,0.0838,12.7287
CMP-003,CUST-0059,2025-03-25,Social Media,Consideration,Central,30,25-34,Male,45.44,Low,1201.85,21,29295,1019,64,6866.87,0.0348,0.0628,4.7136
CMP-031,CUST-0060,2025-02-27,Influencer,Consideration,East,38,35-44,Female,294.8,Medium,5041.26,21,220015,4218,288,15106.87,0.0192,0.0683,1.9966
CMP-017,CUST-0061,2025-05-24,Paid Search,Conversion,East,40,35-44,Female,175.89,Low,4788.99,14,135301,7746,932,172071.07,0.0573,0.1203,34.9306
CMP-009,CUST-0062,2025-04-10,Email,Awareness,West,39,35-44,Male,896.56,High,2149.41,21,144277,7189,368,50449.65,0.0498,0.0512,22.4714
CMP-027,CUST-0063,2025-04-03,Influencer,Consideration,East,36,35-44,Female,138.82,Low,5107.5,7,177298,5467,350,20768.02,0.0308,0.064,3.0662
CMP-002,CUST-0064,2025-05-22,Email,Consideration,South,35,35-44,Male,320.82,Medium,3193.96,10,163799,6301,436,72726.46,0.0385,0.0692,21.77
CMP-010,CUST-0065,2025-04-02,Influencer,Retargeting,South,51,45-54,Female,243.64,Medium,3205.94,10,52364,1677,81,9115.24,0.032,0.0483,1.8432
CMP-007,CUST-0066,2025-05-14,Social Media,Consideration,Central,52,45-54,Male,432.57,Medium,2571.51,14,121999,4308,178,19522.81,0.0353,0.0413,6.592
CMP-029,CUST-0067,2025-05-30,Email,Awareness,Central,37,35-44,Male,175.2,Low,3803.94,30,149107,7325,285,35630.51,0.0491,0.0389,8.3667
CMP-008,CUST-0068,2025-02-28,Display Ads,Retargeting,Central,32,25-34,Female,379.75,Medium,1993.82,21,55142,702,33,3118.24,0.0127,0.047,0.564
CMP-010,CUST-0069,2025-04-06,Paid Search,Retargeting,North,36,35-44,Female,154.03,Low,3048.4,10,158338,7535,770,52699.83,0.0476,0.1022,16.2877
CMP-028,CUST-0070,2025-02-24,Display Ads,Conversion,East,25,25-34,Male,597.85,High,3535.17,10,65479,863,67,5843.07,0.0132,0.0776,0.6528
CMP-028,CUST-0071,2025-06-18,Display Ads,Conversion,Central,22,18-24,Female,167.59,Low,490.42,14,12372,147,7,596.23,0.0119,0.0476,0.2158
CMP-026,CUST-0072,2025-04-27,Email,Conversion,North,45,45-54,Female,484.98,Medium,1113.43,14,36345,1876,168,23251.64,0.0516,0.0896,19.8829
CMP-004,CUST-0073,2025-05-12,Paid Search,Consideration,West,22,18-24,Female,197.11,Low,2024.09,7,60939,3236,199,21255.77,0.0531,0.0615,9.5014
CMP-004,CUST-0074,2025-01-31,Email,Consideration,South,36,35-44,Female,339.55,Medium,2762.32,7,95844,2709,168,14173.21,0.0283,0.062,4.1309
CMP-023,CUST-0075,2025-03-22,Email,Conversion,North,22,18-24,Female,785.81,High,2432.03,30,99371,4897,323,29657.53,0.0493,0.066,11.1946
CMP-024,CUST-0076,2025-03-21,Email,Conversion,South,23,18-24,Female,46.53,Low,1424.62,14,66714,3264,224,24027.22,0.0489,0.0686,15.8657
CMP-023,CUST-0077,2025-06-04,Paid Search,Conversion,South,34,25-34,Female,1057.21,VIP,4037.04,10,192965,11271,1102,113259.59,0.0584,0.0978,27.0551
CMP-029,CUST-0078,2025-04-23,Paid Search,Conversion,Central,21,18-24,Female,97.72,Low,2624.27,7,153756,12188,844,71983.83,0.0793,0.0692,26.43
CMP-003,CUST-0079,2025-06-02,Email,Conversion,North,18,18-24,Female,923.98,VIP,2214.74,30,120024,2820,232,10914.62,0.0235,0.0823,3.9282
CMP-013,CUST-0080,2025-03-29,Social Media,Retargeting,South,45,45-54,Male,280.0,Medium,2797.06,7,65112,1951,123,14176.81,0.03,0.063,4.0685
CMP-024,CUST-0081,2025-03-27,Influencer,Consideration,East,32,25-34,Male,132.97,Low,1949.0,7,69352,1620,85,12473.13,0.0234,0.0525,5.3998
CMP-026,CUST-0082,2025-02-02,Email,Conversion,North,30,25-34,Male,653.18,High,803.25,30,40697,2195,151,12078.57,0.0539,0.0688,14.0371
CMP-032,CUST-0083,2025-05-19,Email,Conversion,South,52,45-54,Female,1680.14,VIP,533.08,30,20997,1131,59,6254.23,0.0539,0.0522,10.7323
CMP-011,CUST-0084,2025-03-14,Paid Search,Awareness,East,30,25-34,Female,79.53,Low,1484.91,21,59585,2649,180,27573.99,0.0445,0.068,17.5695
CMP-029,CUST-0085,2025-02-21,Social Media,Consideration,West,22,18-24,Female,508.76,High,1021.23,30,30705,978,56,6171.68,0.0319,0.0573,5.0434
CMP-011,CUST-0086,2025-04-26,Social Media,Conversion,South,36,35-44,Male,135.07,Low,4862.79,14,163941,4804,318,34152.6,0.0293,0.0662,6.0233
CMP-021,CUST-0087,2025-05-01,Influencer,Conversion,East,35,35-44,Female,175.88,Low,4030.38,10,142483,3150,294,15642.26,0.0221,0.0933,2.8811
CMP-034,CUST-0088,2025-06-09,Social Media,Conversion,South,32,25-34,Female,381.1,Medium,654.61,21,33648,1147,82,9817.9,0.0341,0.0715,13.9981
CMP-019,CUST-0089,2025-05-15,Social Media,Retargeting,South,27,25-34,Male,207.26,Medium,678.24,14,26750,803,80,8812.86,0.03,0.0996,11.9937
CMP-025,CUST-0090,2025-06-18,Influencer,Consideration,North,31,25-34,Female,440.98,Medium,4091.78,7,166852,4439,194,21176.98,0.0266,0.0437,4.1755
CMP-030,CUST-0091,2025-04-28,Influencer,Retargeting,South,35,35-44,Male,1668.5,VIP,1773.2,7,29786,689,39,7338.46,0.0231,0.0566,3.1385
CMP-035,CUST-0092,2025-06-17,Social Media,Awareness,South,29,25-34,Female,657.6,High,1675.1,14,81779,3733,144,13836.62,0.0456,0.0386,7.2602
CMP-012,CUST-0093,2025-04-21,Social Media,Retargeting,Central,33,25-34,Female,168.25,Low,5176.23,30,124162,4334,265,21818.55,0.0349,0.0611,3.2151
CMP-028,CUST-0094,2025-04-22,Email,Consideration,Unknown,55,55+,Female,289.26,Medium,3451.43,14,161888,8136,479,52860.83,0.0503,0.0589,14.3156
CMP-011,CUST-0095,2025-03-02,Influencer,Awareness,Central,28,25-34,Female,200.62,Medium,2106.43,14,89352,1759,51,4964.36,0.0197,0.029,1.3568
CMP-005,CUST-0096,2025-01-07,Paid Search,Retargeting,West,30,25-34,Male,266.96,Medium,2770.36,10,117147,7087,672,49738.51,0.0605,0.0948,16.9538
CMP-005,CUST-0097,2025-03-23,Social Media,Conversion,West,54,45-54,Male,664.77,High,3791.27,14,141143,4485,254,18706.53,0.0318,0.0566,3.9341
CMP-012,CUST-0098,2025-05-07,Display Ads,Retargeting,North,53,45-54,Female,170.22,Low,2100.35,7,66677,963,69,4799.24,0.0144,0.0717,1.285
CMP-031,CUST-0099,2025-04-26,Paid Search,Conversion,Central,60,55+,Male,102.41,Low,3648.53,21,163130,10717,808,117025.54,0.0657,0.0754,31.0747
CMP-004,CUST-0100,2025-03-30,Display Ads,Retargeting,East,38,35-44,Male,135.4,Low,4690.39,30,172588,3020,243,32004.12,0.0175,0.0805,5.8233
CMP-035,CUST-0101,2025-06-04,Email,Retargeting,Central,39,35-44,Male,415.73,Medium,4436.27,14,227206,9757,640,36550.5,0.0429,0.0656,7.239
CMP-014,CUST-0102,2025-03-19,Display Ads,Consideration,North,18,18-24,Female,127.38,Low,1537.66,21,58320,878,33,4181.08,0.0151,0.0376,1.7191
CMP-030,CUST-0103,2025-03-30,Email,Retargeting,East,40,35-44,Other,181.67,Low,984.22,21,37644,1444,143,17052.94,0.0384,0.099,16.3263
CMP-007,CUST-0104,2025-03-25,Email,Conversion,Central,18,18-24,Male,713.63,High,3847.47,30,99676,5730,435,43246.94,0.0575,0.0759,10.2404
CMP-006,CUST-0105,2025-05-07,Influencer,Retargeting,South,36,35-44,Female,126.97,Low,4629.35,30,185591,5569,416,72984.14,0.03,0.0747,14.7655
CMP-024,CUST-0106,2025-03-15,Display Ads,Consideration,West,47,45-54,Female,318.61,Medium,2223.79,7,64342,1051,46,6549.96,0.0163,0.0438,1.9454
CMP-007,CUST-0107,2025-06-04,Social Media,Conversion,East,24,18-24,Female,278.45,Medium,2296.73,30,39198,1160,88,12398.13,0.0296,0.0759,4.3982
CMP-033,CUST-0108,2025-03-18,Email,Conversion,East,51,45-54,Male,514.49,High,1981.41,30,115063,8145,698,66065.06,0.0708,0.0857,32.3424
CMP-008,CUST-0109,2025-05-29,Influencer,Retargeting,North,26,25-34,Male,478.21,Medium,1453.58,30,27573,621,52,6796.69,0.0225,0.0837,3.6758
CMP-016,CUST-0110,2025-04-16,Email,Conversion,North,38,35-44,Female,154.8,Low,2340.33,10,148407,8154,874,138974.37,0.0549,0.1072,58.3824
CMP-031,CUST-0111,2025-06-23,Paid Search,Consideration,South,20,18-24,Male,643.09,High,3308.87,14,96659,5368,297,20688.62,0.0555,0.0553,5.2525
CMP-019,CUST-0112,2025-03-12,Paid Search,Conversion,West,29,25-34,Male,185.22,Low,941.09,14,49594,3058,357,50929.77,0.0617,0.1167,53.1179
CMP-006,CUST-0113,2025-03-11,Social Media,Consideration,East,33,25-34,Male,430.94,Medium,3726.43,30,94063,2550,173,12425.26,0.0271,0.0678,2.3344
CMP-015,CUST-0114,2025-05-21,Email,Consideration,West,49,45-54,Female,651.51,High,2323.5,10,163848,9017,485,38722.26,0.055,0.0538,15.6655
CMP-004,CUST-0115,2025-01-10,Influencer,Awareness,Central,36,35-44,Male,426.38,Medium,2376.74,10,129243,4388,119,20685.01,0.034,0.0271,7.7031
CMP-019,CUST-0116,2025-04-27,Display Ads,Awareness,Central,18,18-24,Female,489.63,Medium,2892.94,30,104850,1094,26,1964.53,0.0104,0.0238,-0.3209
CMP-030,CUST-0117,2025-02-19,Paid Search,Conversion,North,32,25-34,Male,234.85,Medium,3313.13,10,170549,5429,514,42320.18,0.0318,0.0947,11.7735
CMP-009,CUST-0118,2025-03-26,Social Media,Conversion,North,33,25-34,Male,404.97,Medium,3174.93,14,119451,4437,332,23593.65,0.0371,0.0748,6.4312
CMP-011,CUST-0119,2025-04-05,Social Media,Retargeting,East,28,25-34,Male,156.72,Low,1421.12,30,79089,1791,169,27652.97,0.0226,0.0944,18.4586
CMP-031,CUST-0120,2025-01-21,Display Ads,Conversion,South,35,35-44,Male,306.12,Medium,2516.73,30,77080,773,44,2618.68,0.01,0.0569,0.0405
CMP-035,CUST-0121,2025-05-06,Email,Consideration,Central,18,18-24,Male,325.83,Medium,4709.61,7,160977,8104,311,28953.24,0.0503,0.0384,5.1477
CMP-020,CUST-0122,2025-03-30,Paid Search,Consideration,North,33,25-34,Female,193.63,Low,2974.64,7,87955,3251,304,30419.69,0.037,0.0935,9.2263
CMP-009,CUST-0123,2025-04-07,Display Ads,Conversion,West,18,18-24,Female,230.98,Medium,739.21,21,36921,735,29,4286.64,0.0199,0.0395,4.7989
CMP-015,CUST-0124,2025-04-08,Display Ads,Conversion,East,18,18-24,Female,173.44,Low,1550.43,10,36004,583,38,4984.76,0.0162,0.0652,2.2151
CMP-002,CUST-0125,2025-01-13,Social Media,Awareness,Central,48,45-54,Male,85.6,Low,3941.62,10,123080,4183,112,19923.3,0.034,0.0268,4.0546
CMP-019,CUST-0126,2025-03-24,Social Media,Conversion,Central,27,25-34,Male,358.89,Medium,1813.56,10,46929,1906,110,8685.78,0.0406,0.0577,3.7894
CMP-032,CUST-0127,2025-02-08,Email,Consideration,West,36,35-44,Female,1069.67,VIP,2175.83,14,116757,4266,334,31659.42,0.0365,0.0783,13.5505
CMP-004,CUST-0128,2025-03-26,Paid Search,Conversion,Central,23,18-24,Female,108.54,Low,4822.8,7,259919,12963,954,62419.49,0.0499,0.0736,11.9426
CMP-003,CUST-0129,2025-03-27,Display Ads,Awareness,Central,31,25-34,Female,117.07,Low,4991.55,14,87957,952,35,1975.05,0.0108,0.0368,-0.6043
CMP-014,CUST-0130,2025-04-02,Social Media,Consideration,East,35,35-44,Male,211.68,Medium,1618.57,14,62776,1581,82,16009.89,0.0252,0.0519,8.8914
CMP-014,CUST-0131,2025-05-22,Social Media,Consideration,Central,45,45-54,Female,636.92,High,3158.84,30,97064,2258,86,9155.93,0.0233,0.0381,1.8985
CMP-022,CUST-0132,2025-02-05,Social Media,Conversion,West,18,18-24,Female,482.42,Medium,2718.33,30,150455,5233,352,17326.86,0.0348,0.0673,5.3741
CMP-015,CUST-0133,2025-06-20,Email,Awareness,South,23,18-24,Male,288.43,Medium,4776.84,30,197299,8810,332,30741.42,0.0447,0.0377,5.4355
CMP-033,CUST-0134,2025-02-19,Display Ads,Retargeting,South,37,35-44,Female,204.8,Medium,2903.31,30,105057,1673,99,10440.78,0.0159,0.0592,2.5962
CMP-015,CUST-0135,2025-01-24,Social Media,Conversion,North,21,18-24,Male,270.34,Medium,2189.43,21,74267,1526,75,4731.01,0.0205,0.0491,1.1608
CMP-022,CUST-0136,2025-06-27,Paid Search,Conversion,North,53,45-54,Female,294.27,Medium,2656.18,30,56780,2058,198,36261.4,0.0362,0.0962,12.6517
CMP-021,CUST-0137,2025-01-20,Email,Awareness,South,34,25-34,Female,111.51,Low,1137.88,14,40466,1188,51,7765.91,0.0294,0.0429,5.8249
CMP-009,CUST-0138,2025-04-22,Display Ads,Conversion,North,18,18-24,Female,265.4,Medium,4417.57,10,121587,1818,113,10259.78,0.015,0.0622,1.3225
CMP-025,CUST-0139,2025-01-19,Social Media,Retargeting,West,47,45-54,Male,222.01,Medium,1649.66,7,61207,2265,134,14459.7,0.037,0.0592,7.7653
CMP-020,CUST-0140,2025-05-23,Social Media,Conversion,North,38,35-44,Female,187.27,Low,2329.01,30,43954,1553,100,13867.13,0.0353,0.0644,4.9541
CMP-019,CUST-0141,2025-02-13,Social Media,Conversion,Central,59,55+,Male,179.17,Low,1172.08,21,31529,664,29,2177.31,0.0211,0.0437,0.8576
CMP-005,CUST-0142,2025-03-19,Social Media,Conversion,West,27,25-34,Female,85.43,Low,4951.79,7,164314,4833,431,35572.0,0.0294,0.0892,6.1837
CMP-009,CUST-0143,2025-03-23,Social Media,Retargeting,South,27,25-34,Female,72.23,Low,3914.14,14,198883,6479,592,48593.73,0.0326,0.0914,11.4149
CMP-024,CUST-0144,2025-01-07,Email,Retargeting,Central,40,35-44,Male,350.21,Medium,4923.43,21,165675,7437,739,44789.18,0.0449,0.0994,8.0971
CMP-020,CUST-0145,2025-05-03,Social Media,Retargeting,West,35,35-44,Other,484.94,Medium,2293.9,30,101897,2987,288,37624.91,0.0293,0.0964,15.4022
CMP-035,CUST-0146,2025-06-15,Paid Search,Conversion,North,35,35-44,Female,774.4,High,564.84,30,41838,1479,138,22286.44,0.0354,0.0933,38.4562
CMP-001,CUST-0147,2025-04-06,Email,Consideration,Central,18,18-24,Female,262.05,Medium,2595.86,21,141213,5594,217,35743.68,0.0396,0.0388,12.7695
CMP-006,CUST-0148,2025-05-14,Email,Conversion,South,28,25-34,Male,106.16,Low,2039.26,21,56161,2942,228,11459.84,0.0524,0.0775,4.6196
CMP-007,CUST-0149,2025-04-20,Paid Search,Awareness,South,20,18-24,Female,104.07,Low,1474.5,21,55185,2789,120,11418.3,0.0505,0.043,6.7438
CMP-025,CUST-0150,2025-01-27,Email,Awareness,East,34,25-34,Female,298.51,Medium,1256.76,30,43899,1185,57,8441.94,0.027,0.0481,5.7172
CMP-025,CUST-0151,2025-06-22,Paid Search,Retargeting,East,26,25-34,Female,123.17,Low,4805.61,14,260222,16172,1732,123568.58,0.0621,0.1071,24.7134
CMP-010,CUST-0152,2025-05-18,Paid Search,Consideration,South,23,18-24,Female,110.38,Low,3041.33,10,122392,5699,278,27097.53,0.0466,0.0488,7.9098
CMP-001,CUST-0153,2025-06-25,Social Media,Awareness,West,46,45-54,Male,434.62,Medium,2365.81,21,121413,3656,105,5770.28,0.0301,0.0287,1.439
CMP-018,CUST-0154,2025-05-11,Email,Consideration,West,18,18-24,Male,1071.34,VIP,3127.66,7,104611,3992,269,29232.59,0.0382,0.0674,8.3465
CMP-029,CUST-0155,2025-01-09,Paid Search,Conversion,North,32,25-34,Female,449.39,Medium,1624.65,21,88342,3127,362,20430.73,0.0354,0.1158,11.5755
CMP-023,CUST-0156,2025-02-22,Display Ads,Retargeting,West,37,35-44,Female,144.83,Low,3114.86,7,99635,1650,95,18515.54,0.0166,0.0576,4.9443
CMP-033,CUST-0157,2025-01-16,Influencer,Retargeting,North,46,45-54,Female,1590.62,VIP,4555.18,14,112323,3582,213,33100.6,0.0319,0.0595,6.2666
CMP-026,CUST-0158,2025-01-24,Social Media,Retargeting,East,26,25-34,Female,1011.98,VIP,2850.73,21,97996,2654,240,38131.5,0.0271,0.0904,12.376
CMP-030,CUST-0159,2025-02-24,Paid Search,Conversion,North,37,35-44,Male,262.76,Medium,1652.4,21,96885,3967,404,54120.88,0.0409,0.1018,31.7529
CMP-004,CUST-0160,2025-04-27,Email,Retargeting,West,59,55+,Female,35.51,Low,5160.42,7,242751,11488,1110,200471.56,0.0473,0.0966,37.8479
CMP-018,CUST-0161,2025-04-12,Email,Consideration,North,18,18-24,Female,181.29,Low,3871.04,14,204515,12362,558,29968.84,0.0604,0.0451,6.7418
CMP-015,CUST-0162,2025-04-19,Paid Search,Consideration,North,27,25-34,Other,212.05,Medium,2666.85,10,77001,2474,214,11704.47,0.0321,0.0865,3.3889
CMP-025,CUST-0163,2025-05-25,Display Ads,Conversion,South,23,18-24,Female,1104.55,VIP,3310.05,7,61837,689,26,3484.96,0.0111,0.0377,0.0528
CMP-029,CUST-0164,2025-03-31,Display Ads,Awareness,North,37,35-44,Male,375.37,Medium,1875.34,21,32774,534,15,1981.22,0.0163,0.0281,0.0565
CMP-002,CUST-0165,2025-04-11,Display Ads,Retargeting,East,38,35-44,Female,107.72,Low,3483.92,14,148472,2870,189,20290.42,0.0193,0.0659,4.824
